"","klasifikasi","score","text"
"1346","Positif",1,"ğÿ˜stay at homestay safeğÿ˜ â™ kbetâ™ kiss ong  mari jugağÿ˜ janji cuci  risauğÿ’ wasap  kbet kiss mega pussy live xe joker slotgame livecasino baccarat blackjack onlinecasinomalaysia trustedonlinecasino judionline pictwittercomdbhcck"
"1347","Positif",1,"status pandemik global   who pei   aneh      kasusan sengaja  orang takut  tuju     untung lockdownataumusnah"
"1348","Positif",0,"telugu superstars donate big  combat  prabhas  pawan kalyan  allu arjun  mahesh babu  chiranjeevi  ram charanâ  nagarjuna  venkateshfamily  entar lakh naga chaitanya lakh nithiin lakh indiafightscoron pictwittercomihqdldtor"
"1349","Negatif",-2,"erick thohirorang  hilang nyawa  situasi wabah    landa  surga  ganjar    abailambat antisipasi wabah  promosi wisata  ribu terinfeksibelasan dokterparamedis gugur masuk neraka gakpictwittercomnnuzhzv"
"1350","Positif",0,"aktivis desak kepala daerah sesultra alokasi dana penanganan  â€"
"1351","Negatif",-2,"tolong  kasih tau  tugas  beugas ketes  cuci tang   pegang tang orang ama  seterusnyaini bahaya sekal tular  tang  tang  temu   tang"
"1352","Positif",0,"ojo mudik sek din ora ret neng dalan gowo  opo ora "
"1353","Negatif",-1,"u kasdu babinsa koramil jogonalan jajar kodim klaten lakukan komsos  rumah rumah  cegah sebar    wilayah bina  menghimbau warga bina   tenang  waspada  sebar  kodimklaten koremw pictwittercommmknfpkq"
"1354","Positif",0,"modia  india covidindia  â€ pictwittercomikhldbrg"
"1355","Positif",0,"jubir vatikan paus fransiskus  infeksi   enam gawai vatikan  nyata positif â€ via com"
"1356","Positif",0," male sarahahdhugai hingaa gym thah bandhu kur angaifihathaavees"
"1357","Positif",2,"elok  tahan  jenis degil   langgar perintah kawal gerak individu  tahan â€"
"1358","Negatif",-3,"gue  kritik pemerintah  penanganan    suka   lakukan buzzer   bela pemerintah  gue   suka orang   kritik pemerintah o pemerintah    benernya"
"1359","Negatif",-1,"tuantuan   benarbenar wakil rakyat henti bahas omnibus bantu   influencer  tameng    turun tang potong gaji  distribusi logistik  atasiviruscabutomnibus potonggajipejabat shutdownibukotabaru"
"1360","Negatif",-6,"wabah    musuh      jajah       lawan kecuali    pemahaman  ide   tindak mudahmudahan wabah  ajar   a buah "
"1361","Positif",0,"list     pergi  habis  dirumahaja"
"1362","Positif",0,"niwatoe hofu temeke bado hakujajaa ğÿ”smh  â€"
"1363","Negatif",-2,"semoga   juang lawan sakit  kejam beri kuat  percaya  beahan  stayathomeandstaysafe insyaallahadajalan dirumahajacekalcorona stayathome dirumahaja siaplawancovid covidout pictwittercomolcsgh"
"1364","Negatif",-1,"youtuber ridwan hanif  donasi lawan   lelang mobil  â€ pictwittercomrilhqxxuw"
"1365","Positif",0,"ğÿ”ğÿ coronavirus  coronavirusrdc covidrdc soyonsresponsables sauvonsdesvies tokomi wapi tokosilana  bino viapictwittercomspldxhhzmv"
"1366","Positif",2,"daya tahan tubuh kuat  nyata sembuh     beber rahasia  ganjar pranowo"
"1367","Negatif",-3," gue  sip   cari  informasi  argumentasi gue kuat  rencana gue   teman   bantu  kasih komen tindak     lakukan  nang "
"1368","Negatif",-3,"ya  nyata  salah  contoh ya semoga     kayak  semoga      penanganan   ranah  gue kerja  jujur gue  malas bahas  gue  bayang  tangkis  rupa"
"1369","Positif",0,"udahin   "
"1370","Negatif",-2," minggu kantor gue putus wfh   wfh pimpin  asih tau kalo anggar  refocusing  penanganan  gue senang  ya  mantap  cepat  ya pemerintah  ngambil tindak    "
"1371","Positif",0,"ajang f   gagahgagahhehe â€"
"1372","Positif",1," positif   indonesia   minggu â€"
"1373","Positif",0,"yowes ben piye teh tenguk omah wae cuk mutehke awak  lawancovid lawanhoaxviruscorona"
"1374","Positif",0," harap  ais malaysia  tengok video   harap  ais   insaf   video   emis   kerja    rumah   rengek   layan istimewa  pkp    korang ais  malu  â€"
"1375","Positif",1," positif   indonesia   minggu â€"
"1376","Positif",0,"tolong     daerah redzone  mohon  disiplin karantina mandiri   betandang kayak adiksanak  "
"1377","Negatif",-1,"eropa pecah  menangani  â€"
"1378","Negatif",-2,"  kasus mati lapor mangsa kasus mati   lapor tinggal dunia jam petang tadipictwittercomoyjoizzuvd"
"1379","Negatif",-1,"   ajar  pandemi   betapa  dana darurat â€"
"1380","Positif",0," loro panas pilek ngelu kuwi ora mergo   mergo cah kae  iso peka yen   ora ndwe duwit  dikon nukokke skincare asw pancen i ğÿ˜‘"
"1381","Positif",1,"menteri pupr intruksikan hakhak kerja konstruksi  jamin  pandemi  â€"
"1382","Positif",0,"  demand tahap  rawat sakit "
"1383","Negatif",-1,"india anggap buru buru lockdown  kacau   ribu apd â€“ â€ "
"1384","Positif",1,"cepat habis    deh craving  deh  ğÿ˜ semoga   reda  ramadhan amin â€"
"1385","Negatif",-1,"skrinewsmencegah masuk sebar  lion air group tutup  terbang    papua â€ pictwittercomsmomqucc"
"1386","Negatif",-2,"  kasus mati lapor mangsa kasus mati   lapor tinggal dunia jam petang tadipictwittercombvmguujai"
"1387","Negatif",-2," rakyat derita akibat wabah      eh pemerintah mala sibuk rapat paripurna rakyat kumpul tangkap   dprri  lakukan kumpul besok atasiviruscabutomnibus potonggajipejabat shutdownibukotabaru bangunparataimassa pictwittercomkcsvyjztt"
"1388","Positif",0,"cegah sebar  pasar taos tepus  tutup â€ "
"1389","Positif",0,"ubat antimalaria chloroquine   gelombang ama  â€"
"1390","Negatif",-2,"  ketemu ya kak     selesai wkwk"
"1391","Negatif",-2,"  scroll ig malam    tgok vivy post psal  kali puas hti  b while syarikat struggle nk cari duit during covidand my first impression is   asa customer   beli  suppo bareng "
"1392","Negatif",-1,"nampaknya sesetengah ais malaysia deh  belang mase  niso deh  unfollow dorang and follow tweetpemessebab e  ais hahahahaha"
"1393","Negatif",-5," masyarakat  peran aktif putus mata rantai sebar   awat   positif   isolasi  mandiri   rumah sakit   masyarakat imbau   produktif"
"1394","Negatif",-3,"indonesia  status bencana nasional non alam    pemerintah  bnpb   darurat bencana wabah sakit akibat    indonesia   bijak pemerintah kait sistem kendali  "
"1395","Negatif",-2,"presiden jokowi perintah kepala daerah  provinsi  kabupaten  kota  situasi sebar   wilayah  konsultasi  badan nasional tanggulang bencana bnpb nyata jokowi  susul "
"1396","Negatif",-3,"wabah   makan  korban jiwa    dorong  pemerintah  ambil langkah cepat  selesai    presiden jokowi   langkah kendali sebar covidpictwittercomgslnwtpbne"
"1397","Positif",0,"kawan kawan ku twitter   tolong  bantu sebar kabar donasi   bantu tim medis  tim garda   penanganan       berai   covidpictwittercomzdtyqjetld"
"1398","Positif",1,"alhamdulillah belas ribu masker  salur   rs  bandung â€ covidindonesia  "
"1399","Positif",0," risau doh kawan   reply chat akudah   musim  takut anything happened  himaku  doa   jeğÿ˜”  dengar pape khabar   "
"1400","Negatif",-2,"  komentar hikmah      ambil  pemerintah ngebatasin giat     pusat ramai ramai coronaupdate coronaindonesia   covidindonesia dirumahaja"
"1401","Negatif",-3,"lindung     cinta  sebar   unduh pedulilindungi  unduh    henti sebar   indonesia ajar lengkap  link landing page"
"1402","Positif",0,"selamat malam    erwin  media    team informasi    produk clinoptilolite    cegah  pemulihan pasiencovid  kirim upa screenshoot ya salamjanerwinpictwittercomxlrxkelv"
"1403","Negatif",-1,"terimakasih   mu    jalan tuhan ku "
"1404","Positif",0,"daftar  relawan  â€"
"1405","Positif",2," dirumahaja  kali  siedu hadir  tema   hangat  langkah strategis kendali   bijak pemerintah pusat  sinkron  pemerintah daerah  penanganan covidpictwittercomijdchysbrl"
"1406","Negatif",-2," tongkrong sepi   sibuk kejar citacita  cinta  sibuk diam  rumah lawan   covidout"
"1407","Negatif",-2,"lawan  rumah pelangi  suplemen vit ce  warga â€ lewatmengungkap fakta lurus sejarah"
"1408","Positif",0," buzzerbuzzer  kena    keluarga gua ridho  tolong  dokterdokter  sembuh "
"1409","Negatif",-1,"  tular konon daun semambu neem  rawat  baca fakta    coronavirus  sihatmilikku walkthetalk â€"
"1410","Positif",0,"   rindu halang sikecil  ğÿ˜"
"1411","Positif",0,"repost â€â€â€â€â€ yuk  butuh booster vitamin  order ilemonnya ğÿ˜ rp botol ml ğÿ’›ğÿ‹ ilemon ilemonid jualsarilemon jualsarilemonaceh umkmaceh aceh dirumahaja covidâ€ â€"
"1412","Positif",1,"dana kempen  hahahahahahahahah bodoh  hanat kau nk   shooting psa xleh x  soc med campaign  kau still nk monetize    usaha  kkm n  kuasa  ronda  "
"1413","Negatif",-2,"reposted fromsahabattangguhdalam penanganan wabah    pasien  rawat  rumah sakit pasien   masuk  kelompok rentan  lakukan isolasi   rumahâ€ â€"
"1414","Negatif",-4,"mudaâ buzzerrp mati kena    tanganin dokterperawat amin   dokterperawat pesan    lihat wajahâ buzzerrp   rawat rumah sakit   langsung  suntik mati   pakai  ya dok ğÿğÿ"
"1415","Negatif",-1,"surat       hormatiâ hai  nadine salah  duduk bumi terimah kasih     bumi  penuh  polusi kau ajar   bersih hakiki  bersih hatiâ€ â€"
"1416","Positif",2,"aksi tanggap coviddari muda barak banjarejo grobogan beindakpictwittercomagbnkxaqrn"
"1417","Negatif",-1," mariacovid   gila   alami pictwittercomjoppnqj"
"1418","Negatif",-1,"nyanyi ganteng afgan syahreza  masyarakat  bersamasama nek sebar   alias  viruscorona â€"
"1419","Positif",0,"hili gonjwa  tishio duniani tahadhari inatakiwa kwa kuanza kupima watu wenzetu kenya wapo serious  kupambana  ugonjwa huu  kinachotokea italy  hatari    janga kubwa  kiuchumi"
"1420","Positif",1,"   frontliner    tulang   ayuhlah bantu   stayathome stayhome  malaysiabolehjauhi    â€"
"1421","Negatif",-3," orang   kayak orang kayak  miskin  dudukrumah"
"1422","Negatif",-2,"pmi   giat kampanye sadar    semprot cair disinfektan   indonesia  salah  upaya cegah sebar   tim  pmi sumatera barat semprot cair disinfektan  pasar tradisional ccpictwittercomklkutzud"
"1423","Positif",0,"dampak  rebah almost all day long tiktokers kuota gb  pengin ngebacot   twitter  segitu  next  yağÿ˜"
"1424","Negatif",-1,"amerika serikat  negara   positif     dunia  cina  italia salah    sikap presiden   cenderung sepele indonesia  lampau"
"1425","Positif",1,"pasien positif  hilang   jalan karantina mandiri â€"
"1426","Negatif",-7," simpan botol isi air kosong  botol isi air  botol air kosong   radas kawal ğÿ˜‚ğÿ˜‚"
"1427","Positif",0,"gue nyidam karaoke anjiir kayak first thing   gue lakukanain after  outbreaks pergi  huppup  jam solo performance ğÿ˜‚ğÿ˜‚ğÿ"
"1428","Negatif",-3,"kangen orang tua  rumah  adik  kerja  daerah rawan papar  ğÿğÿğÿ"
"1429","Positif",1,"bagus  indonesia  bebas  "
"1430","Negatif",-3,"me baca komentar orang    asbun  pakai cek berita dulupictwittercomayyqmisvos"
"1431","Negatif",-3,"orang tinggal  covidada statistik  uji panik    tidaknyawa  statistik  ambil putus   data  ikat emosi"
"1432","Negatif",-2," kalo  berita kayak  langsung  tt  indonesia       berita  kalah      terpa  indonesiağÿ˜ğÿ˜"
"1433","Negatif",-2,"gara   rumah doang  lupa  pakai sepatu hahaha"
"1434","Positif",0," kalo kasih kakipictwittercomjdrxgxeu"
"1435","Positif",1,"cepat  hilang  ğÿ˜  sanggup nak perap  umah"
"1436","Positif",0,"ğÿ”ğÿ coronavirus  coronavirusrdc covidrdc soyonsresponsables sauvonsdesviestokomi wapi tokosilana  bino via"
"1437","Positif",0,"kat  nak  maklumat sahih kena gejala gejala  jangkit wabak  "
"1438","Negatif",-2,"  status   odp    isolasi mandiri kak  benerbener parah  obat habis  hubung satgas  ğÿ™ğÿ"
"1439","Negatif",-3,"rakyat deh bingung  serang    ya sek dagel ya"
"1440","Positif",0,"kian   petik gitar busy "
"1441","Positif",0,"waakita   cegah  mobil water cannon polda semprot disinfektan"
"1442","Positif",0,"sorry  sayang produksi  jasa  gerak  sdm  robot   jalan produksijasanya kalo sdmnya kena "
"1443","Negatif",-2,"semoga  duluandan henti  lu tuh  amin"
"1444","Positif",1," mintak  nak husband  masuk lr skalidpt  pantang  kampung pon deh syukur deh i missss my family ğÿ˜semoga allah hapus   ğÿ"
"1445","Positif",0,"ngetrep  daryono karantina total lionair  penthiltomorrow pictwittercomucbjxzzv"
"1446","Positif",1," buka twitter  suguh debat panas  warganet buzzer  influenza maaf influencer      kubang  stupid"
"1447","Negatif",-2," wabah    ku  coba kunjung  main hehehe"
"1448","Positif",1,"efek    pulang  dampak   segi ekonomi  kasusehatanya   pedang rumah makan etc palagi hidup  penuh  sono ajg banget   kasusel gue"
"1449","Positif",0,"ambersama putus rantai sebar   kekal  rumahpatuhi arah perintah kawal gerak harikepkp stayathome pictwittercomntyzfoduq"
"1450","Negatif",-2,"yuk  ruang basmi kuman    vital ibukota  kirim donasi   rekening baca bsm   donasi  kumpul  sempit  ruang gerak   jakaa  stayathomeandstaysafe pictwittercomzopfyufbip"
"1451","Positif",0," omong  deh ambil  jokowi titis allah  selamat nkri â€"
"1452","Negatif",-2,"h ya  bas h ya coronavirusoutbreakâš ï coronamemes  coronadelmar socialdistancing  climatechange contentcreator contentcreation content coronaindia memesrlife selfisolationâ€ â€"
"1453","Negatif",-1,"setan    â€"
"1454","Negatif",-4,"  hoax    ya   percaya kaukauan  shut out   ğÿ˜‚ mekanisme kerja kau   singkir   tuh  masup  akal gua ğÿ™‚  pei harum ruang  gua gantung  pojok ac"
"1455","Positif",0,"    hambat penanganan   sakit   nama sindroma pilpres    bijak pemprov dki paksa  dianulirdan sebar bawa     wilayah indonesia raya"
"1456","Negatif",-1,"rapat koordinasi tim satgas  pimpin  bupati malang drs h  sanusi    peringgitan pendopo agung kab malang   minggu malam maret â€"
"1457","Positif",0,"aik beni bulamazzz  hahahahah â€"
"1458","Positif",0,"tarik produsen kondom masuk  kategori industri kritis  pandemic  ğÿ˜€"
"1459","Negatif",-2," enakenak lihat tipi eh  main sinetron batuk batuk  gua matiin  covidindonesia â€“ at puskasusmas sobang"
"1460","Negatif",-3,"lindung     cinta  sebar   unduh pedulilindungi  unduh    henti sebar   indonesia ajar lengkap  link landing page â€"
"1461","Positif",2,"update maret infografik  positif sembuh tinggal indonesiasehat indonesiabutuhpemimpin karantinawilayah â€"
"1462","Negatif",-2,"bimbang kasusan buruk hadap ekonomi akibat  menteri wang  hesse jerman dakwa bunuh  â€"
"1463","Negatif",-1," bilang  transjakaa   pemprov dki  krl   pusat   hak pemprov   batasin rute armada       tumpuk  halte  kalo angka   bengkak situ  tanggung "
"1464","Negatif",-1,"cegah  pemkot sorong tutup bandara  abuh tumpang â€ beritaterkini papua sorong pemkotsorong bandara abuh cegahcovid   papualawancorona nasional newsupdate news berita"
"1465","Negatif",-1,"admin   gawat  bgn  ojol  tinggal  rusunawa   beri longgar  sewa "
"1466","Negatif",-4,"el speinya   jengkel  bacot dokter non praktek  ya sabar ya el tunggu selesai wabah     iris tipis tipis"
"1467","Negatif",-1,"pengin malesâsan  malas pengin rebah   enak badan pengin     pengin molor   ngantukpen  eh     anjg  sbrakuk"
"1468","Positif",3,"konfirmasi  warga tulungagung  camat bandung  positif       pasien  sangkut  rawat  rsud  iskak tulungagungmasuk  pdp  pasiendalampengawasan     pasien"
"1469","Negatif",-4,"pasrah  tuhan   hidup  mati  tang tuhan     usaha  teori   hindar  penyakitvirus     lupa berdoajagakasusehatan isolasi ridan  rumah sajapictwittercomjploxcvwf"
"1470","Negatif",-1," habis fikir bikin kecewa  orang    bela  anak  himbauan    karang taruna tau bannerku  cetak  organisasi    cetak alas lockdown  filenya duluan   â˜ pesansambat"
"1471","Negatif",-2,"repek  orang  ais   derma   bantu   ais  menang kat gaya demand bantu alah orang susah patut ais  bantu ais  susah   macammacam ğÿ˜… â€"
"1472","Negatif",-1,"  goreng opini   jalur "
"1473","Negatif",-1,"anggota piket jaga mako kompi batalyon b pelopor satbrimob polda jabar dpp  jaga bripka pramudhi  anggota  polsek pacet laksana patroli malam beri himbauan  tempel selebaran maklumat kapolri    camat cipanaspictwittercommleuojzhau"
"1474","Negatif",-1,"patut   sumbang korang    landa malaysia    korang kerja   hawooooooo â€"
"1475","Positif",0,"   angsur  app kredit  angsur kendara   ringan kait   masuk warga    trpaksa libur  angsur   beban     kena denda  diseakan bunga  telat bayar haha"
"1476","Negatif",-1,"anggota piket jaga mako kompi batalyon b pelopor satbrimob polda jabar dpp  jaga bripka pramudhi  anggota  polsek pacet laksana patroli malam beri himbauan  tempel selebaran maklumat kapolri    camat cipanaspictwittercomlmdfehxrug"
"1477","Positif",0,"polres sibolga gelar operasi aman nusa i cegah  â€ pictwittercomwicstjhnxw"
"1478","Negatif",-2,"â€ a difabel  disabilitas  mati indonesiamelawancovid rumah difabel dusabilitas pictwittercomnqwlih"
"1479","Positif",0,"t gaduh  b  makan popcorn jom ğÿğÿğÿ prihatinrakyat  stayathomeandstaysafe emergencyfund lifestyle prayformalaysia untukmumalaysia"
"1480","Positif",1,"takut tbtb   tinggal  cianjur   tau   positif "
"1481","Positif",2,"bismillahirrahmanirrahim yaallah angkat    indonesia sembuh   sakit lindung   sehat amin"
"1482","Positif",0,"aha  mu mudugudu wa rebero akagari kak gatunga ndubasectoraho abaturage twateranyije inkunga ngo tugoboke abashonje muri ibi bihe bya  hatanzwe ibiribwa namasabune ku miryango byavuye mu baturage pictwittercomfnhsxvw"
"1483","Negatif",-3,"update   gorontalo odp orang  pemantauan pdp pasien  awas ost orang sok tau ba otb orang tida badengar ba sekal"
"1484","Negatif",-2,"garut   daerah  bersih  wabah  ketat titik titik   pemudiksaya dukung karantina wilayahtapi jiaya   antivasi wabah   buka  masyrakat"
"1485","Negatif",-1,"takpalah    tidur beerusanpatlaaaaaaaa   bumi   nak  burger bakar "
"1486","Negatif",-1,"kwa  tunakuja kwenye nyumba yako tukiwa kwenye mavazi ya kidaktari tunajifanya tunapima nyumba mzima  kukuchukuwa wewe  kuwa umeathirika   kisha tunakupeleka kwenye nyumba ndogo yako kwa siku ğÿ˜‚ğÿ˜‚ tupigie sasa"
"1487","Negatif",-3,"lihat semut  jalan jalan   enak pas    ya"
"1488","Positif",0," bilang janganmudik lakukan socialdistancing biar covidtidak sebar  daerah   odp  pdp tinggal rantau  jaakaa â€"
"1489","Negatif",-2,"tidur  harap besok  bangun baca berita  obat  vaksin anti    temu  ilmuwan republik ceko"
"1490","Negatif",-3,"pmi   giat kampanye sadar    semprot cair disinfektan   indonesia  salah  upaya cegah sebar   tim  pmi sumatera barat semprot cair disinfektan  udd donor darah ccpictwittercomryqkprwtda"
"1491","Negatif",-2,"coronanya kucing anjing kali   â€"
"1492","Positif",0,"dakar covidpictwittercomzkjdfemqa"
"1493","Negatif",-1,"ayah bunda dirumahaja biar   salur aqiqahnya aqiqahbernilaisedekah masihbisaaqiqah wabah pandemic   serang siapapunmemberian dampak turun   kerja harianâ€ â€"
"1494","Negatif",-1," yuk sayang   lakukan self care  panik    baca berita  jelekjelek   batas  media sosial  papar media massa"
"1495","Positif",0,"anxiety  stres  bikin badan drop      situasi rawan papar "
"1496","Positif",1,"daerah jangkit       jawa timur beambah  kabupaten    coronavirus   covidoutbreak covidãƒ coronavirusupdates karantinawilayah lockdownataumusnah banyuwangi â€"
"1497","Positif",0,"  kayak lu        doi  wkwkwkwk  nikah wkwkwk goblok"
"1498","Positif",1," situasi    sehat fisik   hati    jaga pola makan minum vitamin cuci tang  jaga bersih  hindar     pikir    mental health  "
"1499","Positif",0,"hai jokowiskrng    rakyat butuh      cerita nyautama    super darurat â€"
"1500","Positif",0,"hlaingtharyar tsp oneshow anticovidpictwittercomcvfcrbf"
"1501","Positif",3,"selamat tinggal  selamat   suci ramadhan viruscoronahilang covidpergi selamattinggalcorona selamatdatangbulansuciramadhan bulansuciramadhan rinduramadhan pictwittercomioysfwpc"
"1502","Positif",0,"india shifts diplomats  herat jalalabad  kabul  view of surging  cases  afghanistan â€"
"1503","Positif",0," kerja informal pei     dampak pandemik  ğÿ˜pictwittercomimnycuhix"
"1504","Negatif",-5,"lion air letup kat filipina bawa alat   lion air  kasih tutup jela rekod jaga kapal terbang buruk"
"1505","Positif",0,"    taiwan  model     hadap epidemik "
"1506","Negatif",-1,"pemberitahuan resmi  pemerintah desa catuunggal kait surat nomor teanggal maret perihal screening  viapictwittercombuepcefa"
"1507","Positif",1,"lo kayak   kena  deh kul  lo rajin banget cuci tang  "
"1508","Negatif",-1,"  musim lawan  ybpictwittercomocqcew"
"1509","Negatif",-2,"dok  edar video orang kejangapa    gejala kejang  epilepsi"
"1510","Positif",0,"kabag humas  riah     panggung sandiwara â€ pictwittercomxjxvcgre"
"1511","Negatif",-1,"  jangkit  kucing"
"1512","Positif",0,"watu wa iphone muanze sasa kuita  kama icorona ğÿ˜‚ğÿ˜‚"
"1513","Positif",0,"rike diah pitaloka  penanganan   basis riset iptek â€ pictwittercomaejzvkzt"
"1514","Negatif",-1,"sosialisasi sebar wabah    himbauan antisipasi sebar  personil polsek pontang   giat cuci tang  warga  masuk wilayah mapolsek ponrang minggu pictwittercombnqcikcq"
"1515","Positif",1,"kau    e allah turun sakit   meh  nk cite sebernanye allah nk  sabar hadap sakit    bangsa cina  umur  muda  selaintu allah nk tgok   berkerjasamaberusaha sesame manusia  cegah sakit "
"1516","Positif",0,"abantu abayisabi i "
"1517","Positif",1,"wes dokk wess sok   dokter kerjo maneh ora sah dirungoke dok fokus karo  dok"
"1518","Positif",3,"pasien positif   papua beambah   mimika jayapura   positif â€ pictwittercomullyasiuva"
"1519","Positif",0," ngko beritane â€˜mahasiswa  lombok duga odp bawa    kadipiroâ€™ hiyaaa"
"1520","Negatif",-6,"kat laman rumah lepas ambil wudhu   terima kasih pastu gerak  sa    jemput solat   rumahsori ye dik dha  hubung     bahaya jemput orang  kenal masuk rumah musim    orang paranoid"
"1521","Positif",0,"ayo bergeraklawan covidbergerak   rakyat"
"1522","Positif",2,"apasih   benak  kuasa  rakyat  kena musibah hebat   urgent banding ngesahin ruu rct blz racetho blaz asw atasiviruscabutomnibus potonggajipejabat shutdownibukotabaru"
"1523","Positif",1,"china nyata bebas  ğÿ‡ğÿ‡"
"1524","Negatif",-3,"indonesai butuh bantu  masayrakatnya  kapasitas  masyarakat  rumah ya rumah  ngakeluyuran   bantu banget  ngeruntuhin rantai  bira  medis relawan polisi tentaran  pemeintahan kerja suai porsi"
"1525","Negatif",-6,"  demand  lulus deh xyah  tengok drama n suppo ais malaysia  time  bising xdak offer krja deh rsa susah then after rmo   xyah suppo  orang  xdak krja  jatuh  geng b nk sngat    susah   susah btulğÿ â€"
"1526","Positif",0,"sad emo kidd   mcr comeback  pei  batal gegara "
"1527","Positif",0,"pasien pdp  tinggal  rsbt karimun hasil negatif  â€"
"1528","Positif",0,"takat time  takde     maklumat    jkm nak handle penerimaanpenyampaian bantu khusus      deh       kasusan"
"1529","Positif",1,"h semoga    sehat ya  kondisi pei   patut   tingkat sadar  taat bijak pemerintah pei dirumahaja socialdistancing tahan ego     jabat pemerintah yuk  perang  "
"1530","Positif",0,"cegah sebar  pasar taos tepus  tutup â€"
"1531","Positif",3,"beambah pasien positif   riau pesea tablig akbar  malaysia pas â€"
"1532","Negatif",-1,"ajak bahas konspirasi "
"1533","Positif",2,"  lockdown karantina  herd immunity scientist medis wajib lakukan teliti cepat temu obat n musnah covidkumpulan orang pintar semoga  cepat temu â€"
"1534","Negatif",-3,"chronology  ab  pehle aayega ya fir caa ya fir nrv orang npr â€"
"1535","Positif",0,"warga camat gunung putri   cinta  coronaupdate stayathomeandstaysafe stayathomegp socialdistancing pentiltomorrow dirumahaja lockdownataumusnah lockdownnasionalserentak gunungputri bogor pictwittercomivnoiibbu"
"1536","Positif",1,"before i gosalam takziah    waris mangsa covidsesemoga   tabah  sabar  duga "
"1537","Negatif",-1," jaga ekonomi indonesia  ama  lakukan pemerintah ya   kendal sebar  until the govt c control the spread of the  the indonesian economy will continue  come under pressure analisis â€"
"1538","Negatif",-1,"ebujug dahlagi pms lu tong lu  perang lawan   buzzer baperan lu kayak mpudğÿ˜"
"1539","Positif",0,"suai prediksi   besok senin maret akses jabodetabek tutup langkah  karantinawilayah ğÿ”  batas sebar  â€"
"1540","Positif",0,"  patuh atur  pemerintah   pictwittercomdzntsbcdc"
"1541","Positif",0,"gua  selamat  kaum rebah besoksenin  dirumahajaya pictwittercomrvgmzsjiz"
"1542","Negatif",-3,"kritik kritik hujan keritik  ming  sentik sentikbuka laptop masuk  website film bajak  maret mesti judul fileme â€œ kapusan menehâ€ ğÿ˜•   negriku indonesia  sedih    mari doa   doa  lupa  phew"
"1543","Negatif",-1,"hadeuhh pabos       ekspof    ya ğÿ™  â€"
"1544","Positif",0,"pemprov sbtlnya  kerah rw lurah urang tular  ğÿ”"
"1545","Positif",3,"serama individu  ambil sampel  saring  hasil  positif masuk   sembuh  tinggal dunia makmal   masuk makmal gerak  cepat hasil uji   ramai saring pictwittercomfnquvrid â€“ at kampung paya luas"
"1546","Negatif",-1,"kerap panas   syak  demam ah simptom  "
"1547","Positif",1,"   korban positif   indonesia  pemerintah pusat lakukan karantina wilayah  terang  telat  masyarakt  zona merah  menyebarplng kampung  karantina wilayah    telat  musnahkanbuzzerp karantinawilayah"
"1548","Positif",1,"sing tenang sing kalem   gemrungsung     panikgak  mudik  ya  optimis   hilang  ramadhan  haula wala quwwata illa billah"
"1549","Positif",0,"iya  banget pas  batas rute  jam operasional   parah kaum khuche khuche hota hai "
"1550","Negatif",-1,"   lakukan  lawan  kitavscorona rebah rebah gabut gabut tidur"
"1551","Negatif",-1,"mendem jalan        obat"
"1552","Negatif",-2,"   saje nak alih hati pasal   jilake  main yahudi "
"1553","Positif",1,"   kecuali  garda   sebar   tenaga sehat  benteng    lindung    ikhtiar    sakit"
"1554","Negatif",-2,"    sakit doang orang orang  indonesia   pesansambat"
"1555","Negatif",-4,"  viral orang polisi katai orang  peci hitam kemeja putih  adakan hajat  situasi rentan  mending kayak    katai lidah  tajem  pecut  tajem "
"1556","Positif",0,"walaupon         raya  kali physically ğÿ˜"
"1557","Negatif",-1,"lagu santui guyub lawan  covidpictwittercomrgrdhhdp"
"1558","Positif",2,"  lockdown jugatanya  detikcommengetweet breakingnews  pasien  konfirmasi positif     indonesia  beambah total    kasusâ€ â€"
"1559","Negatif",-1,"tanda mahluk   papar    kasihan anakcucu  bapakkakek   isolasi dasar mbambang"
"1560","Negatif",-5,"sumpah  tipu sedih gila budak budak  kena   astu pergi hospital sorang sorang ğÿ˜ğÿ˜ğÿ˜ğÿ˜    ceni  mak   bawa  klinik  cakap kat doktor  sakit  ğÿ˜”ğÿÿğÿ"
"1561","Positif",0,"lebaran defisit anggar akibat pandemi      persen â€"
"1562","Positif",0,"upaya bisnis resto kafe  hotel  sidoarjo adaptasi   pandemi  infosidoarjo dirumahaja â€"
"1563","Negatif",-4,"duka   pilot kru pesawat  tumpang lion air filipina  jatuh f ledak  bandara naia filipina    alat medis  semoga      keluarga  tinggal ğÿ™ rip â€"
"1564","Positif",1,"christina cerita  kait kondisi  jangkit    nyata sembuh    coronavirus   covidoutbreak covidãƒ coronavirusupdates karantinawilayah lockdownataumusnah â€"
"1565","Positif",0," budaya  jam dhaulu   indonesia terkanl dengn budaya gotong royong   buday  kikis   sdikit hikmah  â€"
"1566","Positif",1,"eh  lu   komentar  bijak pemerintah   keluyur lu tau   juang    perjuanginkayak   lu  kena  cakep "
"1567","Positif",0," mncube"
"1568","Positif",0,"serama individu  ambil sampel  saring covidpictwittercomthzxjkikw"
"1569","Positif",1,"rapxtra situasi getir akibat tular wabak   jejas  aspek utama  perintah kurung pakai  perintah kawal gerak pkp dikuatkuasakan   dunia â€"
